Station,Year,Month,T.max
Dhaka (11111),1992,8,31.93
Dhaka (11111),1992,9,32.23
Dhaka (11111),1992,10,31.8
Dhaka (11111),1992,11,29.44
Dhaka (11111),1992,12,26.03
Dhaka (11111),1993,1,24.52
Dhaka (11111),1993,2,28.77
Dhaka (11111),1993,3,30.95
Dhaka (11111),1993,4,33.04
Dhaka (11111),1993,5,31.59
Dhaka (11111),1993,6,31.75
Dhaka (11111),1993,7,31.39
Dhaka (11111),1993,8,30.95
Dhaka (11111),1993,9,31.53
Dhaka (11111),1993,10,31.45
Dhaka (11111),1993,11,29.49
Dhaka (11111),1993,12,27.12
Dhaka (11111),1994,1,26.11
Dhaka (11111),1994,2,26.51
Dhaka (11111),1994,3,32.39
Dhaka (11111),1994,4,33.24
Dhaka (11111),1994,5,33.61
Dhaka (11111),1994,6,31.95
Dhaka (11111),1994,7,32.15
Dhaka (11111),1994,8,31.96
Dhaka (11111),1994,9,32.89
Dhaka (11111),1994,10,32.75
Dhaka (11111),1994,11,29.88
Dhaka (11111),1994,12,27.7
Dhaka (11111),1995,1,25.35
Dhaka (11111),1995,2,27.97
Dhaka (11111),1995,3,33.8
Dhaka (11111),1995,4,36.49
Dhaka (11111),1995,5,34.88
Dhaka (11111),1995,6,32.82
Dhaka (11111),1995,7,31.76
Dhaka (11111),1995,8,32.5
Dhaka (11111),1995,9,32.43
Dhaka (11111),1995,10,32.85
Dhaka (11111),1995,11,29.78
Dhaka (11111),1995,12,26.99
Dhaka (11111),1996,1,25.83
Dhaka (11111),1996,2,29.73
Dhaka (11111),1996,3,34.38
Dhaka (11111),1996,4,34.9
Dhaka (11111),1996,5,34.64
Dhaka (11111),1996,6,32.54
Dhaka (11111),1996,7,32.8
Dhaka (11111),1996,8,31.78
Dhaka (11111),1996,9,33.8
Dhaka (11111),1996,10,32.28
Dhaka (11111),1996,11,30.3
Dhaka (11111),1996,12,27.28
Dhaka (11111),1997,1,25.08
Dhaka (11111),1997,2,27.76
Dhaka (11111),1997,3,33.1
Dhaka (11111),1997,4,31.02
Dhaka (11111),1997,5,33.68
Dhaka (11111),1997,6,33.34
Dhaka (11111),1997,7,31.68
Dhaka (11111),1997,8,32.72
Dhaka (11111),1997,9,31.5
Dhaka (11111),1997,10,32.15
Dhaka (11111),1997,11,30.43
Dhaka (11111),1997,12,24.97
Dhaka (11111),1998,1,22.77
Dhaka (11111),1998,2,28.35
Dhaka (11111),1998,3,30.68
Dhaka (11111),1998,4,32.74
Dhaka (11111),1998,5,33.37
Dhaka (11111),1998,6,34.27
Dhaka (11111),1998,7,31.71
Dhaka (11111),1998,8,31.8
Dhaka (11111),1998,9,32.5
Dhaka (11111),1998,10,33.13
Dhaka (11111),1998,11,30.75
Dhaka (11111),1998,12,28.09
Dhaka (11111),1999,1,26.95
Dhaka (11111),1999,2,31.13
Dhaka (11111),1999,3,34.76
Dhaka (11111),1999,4,36.02
Dhaka (11111),1999,5,32.78
Dhaka (11111),1999,6,32.53
Dhaka (11111),1999,7,31.47
Dhaka (11111),1999,8,31.7
Dhaka (11111),1999,9,31.64
Dhaka (11111),1999,10,31.77
Dhaka (11111),1999,11,30.44
Dhaka (11111),1999,12,27.1
Dhaka (11111),2000,1,24.58
Dhaka (11111),2000,2,25.48
Dhaka (11111),2000,3,30.94
Dhaka (11111),2000,4,32.79
Dhaka (11111),2000,5,32.28
Dhaka (11111),2000,6,32.49
Dhaka (11111),2000,7,31.8
Dhaka (11111),2000,8,32.08
Dhaka (11111),2000,9,32
Dhaka (11111),2000,10,31.13
Dhaka (11111),2000,11,29.61
Dhaka (11111),2000,12,26.36
Dhaka (11111),2001,1,24.41
Dhaka (11111),2001,2,28.66
Dhaka (11111),2001,3,32.72
Dhaka (11111),2001,4,34.37
Dhaka (11111),2001,5,31.99
Dhaka (11111),2001,6,31.03
Dhaka (11111),2001,7,31.68
Dhaka (11111),2001,8,32.38
Dhaka (11111),2001,9,31.86
Dhaka (11111),2001,10,31.57
Dhaka (11111),2001,11,28.9
Dhaka (11111),2001,12,25.89
Dhaka (11111),2002,1,25.44
Dhaka (11111),2002,2,28.56
Dhaka (11111),2002,3,31.84
Dhaka (11111),2002,4,32.06
Dhaka (11111),2002,5,32.09
Dhaka (11111),2002,6,31.75
Dhaka (11111),2002,7,31.6
Dhaka (11111),2002,8,31.5
Dhaka (11111),2002,9,32.42
Dhaka (11111),2002,10,31.44
Dhaka (11111),2002,11,28.89
Dhaka (11111),2002,12,26.07
Dhaka (11111),2003,1,21.76
Dhaka (11111),2003,2,27.97
Dhaka (11111),2003,3,30.02
Dhaka (11111),2003,4,34.02
Dhaka (11111),2003,5,33.99
Dhaka (11111),2003,6,31.41
Dhaka (11111),2003,7,32.41
Dhaka (11111),2003,8,32.49
Dhaka (11111),2003,9,31.69
Dhaka (11111),2003,10,31.24
Dhaka (11111),2003,11,29.75
Dhaka (11111),2003,12,25.9
Dhaka (11111),2004,1,23.54
Dhaka (11111),2004,2,28.26
Dhaka (11111),2004,3,32.76
Dhaka (11111),2004,4,32.55
